,Rank,Title,Distributor,Domestic gross,Year
0,1,Love Story,Paramount,"$106,397,186",1970
1,2,Airport,Universal,"$100,489,150",1970
2,3,M*A*S*H,20th Century Fox,"$81,600,000",1970
3,4,Patton,20th Century Fox,"$62,500,000",1970
4,5,The Aristocats,Walt Disney,"$41,162,795",1970
5,6,Woodstock,Warner Bros.,"$34,505,110",1970
6,7,Little Big Man,National General Pictures,"$31,559,552",1970
7,8,Ryan's Daughter,MGM,"$30,846,306",1970
8,9,Tora! Tora! Tora!,20th Century Fox,"$29,548,291",1970
9,10,Catch-22,Paramount,"$24,911,670",1970
10,1,Billy Jack,Warner Bros.,"$98,000,000",1971
11,2,Fiddler on the Roof,United Artists,"$78,722,370",1971
12,3,Diamonds Are Forever,United Artists,"$43,800,000",1971
13,4,The French Connection,20th Century Fox,"$41,158,757",1971
14,5,Summer of '42,Warner Bros.,"$32,063,634",1971
15,6,Dirty Harry,Warner Bros.,"$28,153,434",1971
16,7,A Clockwork Orange,Warner Bros.,"$26,589,355",1971
17,8,The Last Picture Show,Columbia,"$20,505,085",1971
18,9,Bedknobs and Broomsticks,Walt Disney,"$17,871,174",1971
19,10,Sweet Sweetback's Baadasssss Song,Cinemation Industries,"$15,200,000",1971
20,1,The Godfather,Paramount,"$133,698,921",1972
21,2,The Poseidon Adventure,20th Century Fox,"$93,300,000",1972
22,3,"What's Up, Doc?",Warner Bros.,"$57,142,740",1972
23,4,Deliverance,Warner Bros.,"$46,122,355",1972
24,5,Deep Throat,Warner Bros.,"$45,000,000",1972
25,6,Jeremiah Johnson,Warner Bros.,"$44,693,786",1972
26,7,Cabaret,Allied Artists,"$41,326,446",1972
27,8,The Getaway,National General,"$36,734,619",1972
28,9,Last Tango in Paris,Metro-Goldwyn-Mayer,"$36,144,824",1972
29,10,Lady Sings the Blues,Paramount,"$19,726,490",1972
30,1,The Exorcist,Warner Bros.,"$193,000,000",1973
31,2,The Sting,Universal,"$159,616,327",1973
32,3,American Graffiti,Universal,"$115,291,850",1973
33,4,Papillon,Allied Artists,"$53,267,000",1973
34,5,The Way We Were,Columbia,"$49,919,870",1973
35,6,Magnum Force,Warner Bros.,"$44,680,473",1973
36,7,Live and Let Die,United Artists,"$35,400,000",1973
37,8,Robin Hood,Walt Disney,"$32,056,467",1973
38,9,Paper Moon,Paramount,"$30,933,743",1973
39,10,Serpico,Paramount Pictures,"$27,274,150",1973
40,1,Blazing Saddles,Warner Bros.,"$119,500,000",1974
41,2,The Towering Inferno,20th Century Fox / Warner Bros.,"$116,000,000",1974
42,3,The Trial of Billy Jack,Warner Bros.,"$89,000,000",1974
43,4,Young Frankenstein,20th Century Fox,"$86,300,000",1974
44,5,Earthquake,Universal,"$79,700,000",1974
45,6,The Godfather Part II,Paramount,"$57,300,000",1974
46,7,Airport 1975,Universal Pictures,"$47,285,152",1974
47,8,The Life and Times of Grizzly Adams,Sunn Classic,"$45,411,063",1974
48,9,The Longest Yard,Paramount,"$43,008,075",1974
49,10,Murder on the Orient Express,Anglo-EMI Film Distributors,"$35,733,867",1974
50,1,Jaws,Universal,"$272,965,550",1975
51,2,One Flew Over the Cuckoo's Nest,United Artists,"$108,981,275",1975
52,3,Shampoo,Columbia,"$49,407,734",1975
53,4,Dog Day Afternoon,Warner Bros.,"$46,665,856",1975
54,5,The Return of the Pink Panther,United Artists,"$41,833,347",1975
55,6,Three Days of the Condor,Paramount,"$41,509,797",1975
56,7,The Rocky Horror Picture Show,20th Century Fox,"$40,420,000",1975
57,8,Funny Lady,Columbia,"$40,055,897",1975
58,9,The Other Side of the Mountain,Universal,"$34,673,100",1975
59,10,Tommy,Columbia,"$34,251,525",1975
60,1,Rocky,United Artists,"$117,235,147",1976
61,2,To Fly!,IMAX Films,"$86,600,000",1976
62,3,A Star Is Born,Warner Bros.,"$63,129,898",1976
63,4,King Kong,Paramount,"$52,614,445",1976
64,5,Silver Streak,20th Century Fox,"$51,079,064",1976
65,6,All the President's Men,Warner Bros.,"$51,048,435",1976
66,7,The Omen,20th Century Fox,"$48,570,885",1976
67,8,The Enforcer,Warner Bros.,"$46,200,000",1976
68,9,Midway,Universal,"$43,220,000",1976
69,10,The Bad News Bears,Paramount,"$42,349,782",1976
70,1,Star Wars,20th Century Fox,"$221,280,994",1977
71,2,Smokey and the Bandit,Universal,"$126,737,428",1977
72,3,Close Encounters of the Third Kind,Columbia,"$116,395,460",1977
73,4,Saturday Night Fever,Paramount,"$94,213,184",1977
74,5,The Goodbye Girl,MGM / Warner Bros.,"$83,700,000",1977
75,6,A Bridge Too Far,United Artists,"$50,750,000",1977
76,7,The Deep,Columbia,"$47,346,365",1977
77,8,The Spy Who Loved Me,United Artists,"$46,838,673",1977
78,9,"Oh, God!",Warner Bros.,"$41,687,243",1977
79,10,Annie Hall,United Artists,"$38,251,425",1977
80,1,Grease,Paramount,"$159,978,870",1978
81,2,Superman,Warner Bros.,"$134,218,018",1978
82,3,National Lampoon’s Animal House,Universal,"$120,091,123",1978
83,4,Every Which Way but Loose,Warner Bros.,"$85,196,485",1978
84,5,Heaven Can Wait,Paramount,"$81,640,278",1978
85,6,Hooper,Warner Bros.,"$78,000,000",1978
86,7,Jaws 2,Universal,"$77,737,272",1978
87,8,Revenge of the Pink Panther,United Artists,"$49,579,269",1978
88,9,The Deer Hunter,Universal,"$48,979,328",1978
89,10,Halloween,Compass International,"$47,000,000",1978
90,1,Kramer vs. Kramer,Columbia,"$106,260,000",1979
91,2,The Amityville Horror,American International,"$86,432,520",1979
92,3,Rocky II,United Artists,"$85,182,160<",1979
93,4,Star Trek: The Motion Picture,Paramount,"$82,258,456",1979
94,5,Alien,20th Century Fox,"$78,944,891",1979
95,6,Apocalypse Now,United Artists,"$78,784,010",1979
96,7,10,Warner Bros.,"$74,865,517",1979
97,8,The Jerk,Universal,"$73,691,419",1979
98,9,Moonraker,United Artists,"$70,308,099",1979
99,10,The Muppet Movie,Associated Film,"$65,200,000",1979
100,1,The Empire Strikes Back,20th Century Fox,"$209,398,025",1980
101,2,9 to 5,20th Century Fox,"$103,290,500",1980
102,3,Stir Crazy,Columbia,"$101,300,000",1980
103,4,Airplane!,Paramount,"$83,453,539",1980
104,5,Any Which Way You Can,Warner Bros.,"$70,687,344",1980
105,6,Private Benjamin,Warner Bros.,"$69,847,348",1980
106,7,Coal Miner's Daughter,Universal,"$67,182,787",1980
107,8,Smokey and the Bandit II,Universal,"$66,132,626",1980
108,9,The Blue Lagoon,Columbia,"$58,853,106",1980
109,10,The Blues Brothers,Universal,"$57,229,890",1980
110,1,Raiders of the Lost Ark,Paramount,"$212,222,025",1981
111,2,On Golden Pond,Universal,"$119,285,432",1981
112,3,Superman II,Warner Bros.,"$108,185,706",1981
113,4,Arthur,Warner Bros.,"$95,461,682",1981
114,5,Stripes,Columbia,"$85,297,000",1981
115,6,The Cannonball Run,20th Century Fox,"$72,179,579",1981
116,7,Chariots of Fire,Warner Bros.,"$58,972,904",1981
117,8,For Your Eyes Only,United Artists,"$54,812,802",1981
